Term,ID,CourseCode,Grade,GradePts
2012-1,S001,INF0132,D,1
2012-1,S001,INF0221,C+,2.3
2012-1,S001,INF0111,C,2
2012-1,S001,INF0371,B+,3.3
2012-1,S001,FLA0071,A-,3.7
2012-1,S001,FLA0111,B,3
2012-1,S001,FLA0121,B+,3.3
2012-1,S002,INF0132,D,1
2012-1,S002,INF0221,C,2
2012-1,S002,INF0111,C,2
2012-1,S002,INF0371,B,3
2012-1,S002,FLA0071,A-,3.7
2012-1,S002,FLA0081,A-,3.7
2012-1,S002,FLA0121,A-,3.7
2012-1,S003,INF0132,B,3
2012-1,S003,INF0221,A-,3.7
2012-1,S003,INF0111,A-,3.7
2012-1,S003,INF0371,A-,3.7
2012-1,S003,FLA0071,A-,3.7
2012-1,S003,FLA0111,B+,3.3
2012-1,S003,FLA0121,A,4
2012-1,S004,INF0132,B,3
2012-1,S004,INF0221,C,2
2012-1,S004,INF0111,C,2
2012-1,S004,INF0371,C-,1.7
2012-1,S004,FLA0071,A-,3.7
2012-1,S004,FLA0081,A-,3.7
2012-1,S004,FLA0121,B,3
2012-1,S005,INF0132,E,0
2012-1,S005,INF0221,B,3
2012-1,S005,INF0111,C+,2.3
2012-1,S005,INF0371,C-,1.7
2012-1,S005,FLA0071,A-,3.7
2012-1,S005,FLA0081,A-,3.7
2012-1,S005,FLA0121,B-,2.7
2012-1,S006,INF0132,D,1
2012-1,S006,INF0221,D,1
2012-1,S006,INF0111,B,3
2012-1,S006,INF0371,C,2
2012-1,S006,FLA0071,B+,3.3
2012-1,S006,FLA0081,A-,3.7
2012-1,S006,FLA0121,B-,2.7
2012-1,S007,INF0132,D,1
2012-1,S007,INF0221,D,1
2012-1,S007,INF0111,C,2
2012-1,S007,INF0371,C-,1.7
2012-1,S007,FLA0071,A-,3.7
2012-1,S007,FLA0081,A-,3.7
2012-1,S007,FLA0121,B,3
2012-1,S008,INF0132,A-,3.7
2012-1,S008,INF0221,B+,3.3
2012-1,S008,INF0111,B,3
2012-1,S008,INF0371,A-,3.7
2012-1,S008,FLA0071,A-,3.7
2012-1,S008,FLA0111,B-,2.7
2012-1,S008,FLA0121,A-,3.7
2012-2,S001,INF0142,C-,1.7
2012-2,S001,INF0022,B-,2.7
2012-2,S001,INF0621,C+,2.3
2012-2,S001,INF0601,B,3
2012-2,S001,INF0301,B-,2.7
2012-2,S001,FLA0031,B+,3.3
2012-2,S001,FLA0011,E,0
2012-2,S002,INF0142,C+,2.3
2012-2,S002,INF0022,C+,2.3
2012-2,S002,INF0621,C+,2.3
2012-2,S002,INF0601,C,2
2012-2,S002,INF0301,C+,2.3
2012-2,S002,FLA0031,A-,3.7
2012-2,S003,INF0142,B,3
2012-2,S003,INF0022,A-,3.7
2012-2,S003,INF0621,A,4
2012-2,S003,INF0601,B+,3.3
2012-2,S003,INF0301,A,4
2012-2,S003,INF0521,A-,3.7
2012-2,S003,FLA0031,A-,3.7
2012-2,S004,INF0142,B,3
2012-2,S004,INF0022,C,2
2012-2,S004,INF0621,C-,1.7
2012-2,S004,INF0601,C+,2.3
2012-2,S004,INF0301,D,1
2012-2,S004,FLA0031,B+,3.3
2012-2,S004,FLA0011,B+,3.3
2012-2,S005,INF0142,D,1
2012-2,S005,INF0022,D,1
2012-2,S005,INF0621,E,0
2012-2,S005,INF0601,C-,1.7
2012-2,S005,INF0301,C,2
2012-2,S005,INF0521,C-,1.7
2012-2,S005,FLA0031,B+,3.3
2012-2,S006,INF0142,D,1
2012-2,S006,INF0022,C-,1.7
2012-2,S006,INF0621,C,2
2012-2,S006,INF0301,B-,2.7
2012-2,S006,INF0521,C+,2.3
2012-2,S006,FLA0011,A-,3.7
2012-2,S007,INF0142,E,0
2012-2,S007,INF0022,C,2
2012-2,S007,INF0621,D,1
2012-2,S007,INF0301,C,2
2012-2,S007,INF0521,C+,2.3
2012-2,S007,FLA0011,A-,3.7
2012-2,S008,INF0142,B,3
2012-2,S008,INF0022,A-,3.7
2012-2,S008,INF0621,B-,2.7
2012-2,S008,INF0601,A,4
2012-2,S008,INF0301,B,3
2012-2,S008,INF0521,B-,2.7
2012-2,S008,FLA0031,B+,3.3
2012-3,S001,FLA0092,A-,3.7
2012-3,S001,INF0231,B-,2.7
2012-3,S001,FLA0061,A-,3.7
2012-3,S001,FLA0041,A,4
2012-3,S002,INF0221,A,4
2012-3,S002,FLA0061,A-,3.7
2012-3,S002,FLA0041,B-,2.7
2012-3,S003,FLA0092,A,4
2012-3,S003,INF0231,B+,3.3
2012-3,S003,FLA0061,A-,3.7
2012-3,S003,FLA0041,A,4
2012-3,S004,FLA0092,C+,2.3
2012-3,S004,INF0231,B,3
2012-3,S004,FLA0061,A-,3.7
2012-3,S004,FLA0041,A,4
2012-3,S005,FLA0061,A-,3.7
2012-3,S005,FLA0131,A-,3.7
2012-3,S006,INF0221,A-,3.7
2012-3,S006,INF0601,B,3
2012-3,S006,FLA0031,A-,3.7
2012-3,S007,INF0221,A-,3.7
2012-3,S007,INF0601,C+,2.3
2012-3,S007,FLA0061,A-,3.7
2012-3,S007,FLA0031,A-,3.7
2012-3,S008,FLA0092,A,4
2012-3,S008,INF0231,B-,2.7
2012-3,S008,FLA0061,A-,3.7
2012-3,S008,FLA0041,A,4
2013-1,S001,FLA0022,B+,3.3
2013-1,S001,INF0271,B-,2.7
2013-1,S001,INF0191,B,3
2013-1,S001,INF0431,F,0
2013-1,S001,INF0291,C+,2.3
2013-1,S009,FLA0091,B,3
2013-1,S009,FLA0021,B-,2.7
2013-1,S009,FLA0101,B+,3.3
2013-1,S009,FLA0051,L,4
2013-1,S009,INF0221,C,2
2013-1,S009,INF0381,B-,2.7
2013-1,S009,INF0011,B+,3.3
2013-1,S010,FLA0091,B+,3.3
2013-1,S010,FLA0021,B-,2.7
2013-1,S010,FLA0101,B+,3.3
2013-1,S010,FLA0051,L,4
2013-1,S010,INF0221,C-,1.7
2013-1,S010,INF0381,B+,3.3
2013-1,S010,INF0011,F,0
2013-1,S011,FLA0091,A-,3.7
2013-1,S011,FLA0021,B+,3.3
2013-1,S011,FLA0101,B+,3.3
2013-1,S011,FLA0051,L,4
2013-1,S011,INF0221,B+,3.3
2013-1,S011,INF0381,A,4
2013-1,S011,INF0011,F,0
2013-1,S002,INF0271,B+,3.3
2013-1,S002,INF0231,F,0
2013-1,S002,INF0191,B,3
2013-1,S002,INF0431,C-,1.7
2013-1,S002,INF0291,F,0
2013-1,S003,FLA0022,A-,3.7
2013-1,S003,INF0271,B,3
2013-1,S003,INF0191,A-,3.7
2013-1,S003,INF0431,A,4
2013-1,S003,INF0291,B-,2.7
2013-1,S004,FLA0022,B+,3.3
2013-1,S004,INF0271,B,3
2013-1,S004,INF0191,B+,3.3
2013-1,S004,INF0431,C-,1.7
2013-1,S004,INF0291,F,0
2013-1,S012,FLA0091,A-,3.7
2013-1,S012,FLA0021,A-,3.7
2013-1,S012,FLA0101,B+,3.3
2013-1,S012,FLA0051,L,4
2013-1,S012,INF0221,B+,3.3
2013-1,S012,INF0381,A-,3.7
2013-1,S012,INF0011,C+,2.3
2013-1,S013,FLA0091,A-,3.7
2013-1,S013,FLA0021,B,3
2013-1,S013,FLA0101,B+,3.3
2013-1,S013,FLA0051,L,4
2013-1,S013,INF0221,A,4
2013-1,S013,INF0381,A-,3.7
2013-1,S013,INF0011,B,3
2013-1,S014,FLA0091,B,3
2013-1,S014,FLA0021,B+,3.3
2013-1,S014,FLA0101,B,3
2013-1,S014,FLA0051,L,4
2013-1,S014,INF0221,C,2
2013-1,S014,INF0381,B+,3.3
2013-1,S014,INF0011,F,0
2013-1,S005,FLA0022,B,3
2013-1,S005,INF0271,C-,1.7
2013-1,S005,INF0191,C+,2.3
2013-1,S005,INF0431,B,3
2013-1,S005,INF0291,F,0
2013-1,S006,INF0271,B,3
2013-1,S006,INF0231,B-,2.7
2013-1,S006,INF0191,B+,3.3
2013-1,S006,INF0431,C,2
2013-1,S006,INF0291,F,0
2013-1,S015,FLA0091,B,3
2013-1,S015,FLA0021,B+,3.3
2013-1,S015,FLA0101,B,3
2013-1,S015,FLA0051,L,4
2013-1,S015,INF0221,B-,2.7
2013-1,S015,INF0381,B-,2.7
2013-1,S015,INF0011,F,0
2013-1,S007,FLA0022,A-,3.7
2013-1,S007,INF0271,B,3
2013-1,S007,INF0191,B+,3.3
2013-1,S007,INF0431,C-,1.7
2013-1,S007,INF0291,F,0
2013-1,S016,FLA0091,B,3
2013-1,S016,FLA0021,B,3
2013-1,S016,FLA0101,B,3
2013-1,S016,FLA0051,L,4
2013-1,S016,INF0221,C-,1.7
2013-1,S016,INF0381,B-,2.7
2013-1,S016,INF0011,F,0
2013-1,S017,FLA0091,B+,3.3
2013-1,S017,FLA0021,B,3
2013-1,S017,FLA0101,B+,3.3
2013-1,S017,FLA0051,L,4
2013-1,S017,INF0221,B-,2.7
2013-1,S017,INF0381,B,3
2013-1,S017,INF0011,B-,2.7
2013-1,S018,FLA0091,B,3
2013-1,S018,FLA0021,C+,2.3
2013-1,S018,FLA0101,B,3
2013-1,S018,FLA0051,BL,0
2013-1,S018,INF0221,C-,1.7
2013-1,S018,INF0381,B,3
2013-1,S018,INF0011,F,0
2013-1,S019,FLA0091,B,3
2013-1,S019,FLA0021,B-,2.7
2013-1,S019,FLA0101,B+,3.3
2013-1,S019,FLA0051,L,4
2013-1,S019,INF0221,A,4
2013-1,S019,INF0381,A-,3.7
2013-1,S019,INF0011,A,4
2013-1,S008,FLA0022,B,3
2013-1,S008,INF0271,C+,2.3
2013-1,S008,INF0191,B-,2.7
2013-1,S008,INF0431,F,0
2013-1,S008,INF0291,F,0
2013-1,S020,FLA0091,A-,3.7
2013-1,S020,FLA0021,B+,3.3
2013-1,S020,FLA0101,B+,3.3
2013-1,S020,FLA0051,L,4
2013-1,S020,INF0221,C+,2.3
2013-1,S020,INF0381,C+,2.3
2013-1,S020,INF0011,F,0
2013-1,S021,FLA0091,B,3
2013-1,S021,FLA0021,C,2
2013-1,S021,FLA0101,B+,3.3
2013-1,S021,FLA0051,BL,0
2013-1,S021,INF0221,C,2
2013-1,S021,INF0381,B,3
2013-1,S021,INF0011,F,0
2013-1,S022,FLA0091,B+,3.3
2013-1,S022,FLA0021,B,3
2013-1,S022,FLA0101,B+,3.3
2013-1,S022,FLA0051,BL,0
2013-1,S022,INF0221,C+,2.3
2013-1,S022,INF0381,A-,3.7
2013-1,S022,INF0011,F,0
2013-1,S023,FLA0091,B,3
2013-1,S023,FLA0021,B-,2.7
2013-1,S023,FLA0101,B+,3.3
2013-1,S023,FLA0051,L,4
2013-1,S023,INF0221,B+,3.3
2013-1,S023,INF0381,A,4
2013-1,S023,INF0011,B,3
2013-1,S024,FLA0091,A-,3.7
2013-1,S024,FLA0021,B+,3.3
2013-1,S024,FLA0101,B+,3.3
2013-1,S024,FLA0051,L,4
2013-1,S024,INF0221,C,2
2013-1,S024,INF0381,B+,3.3
2013-1,S024,INF0011,F,0
2013-1,S025,FLA0091,A-,3.7
2013-1,S025,FLA0021,B,3
2013-1,S025,FLA0101,B+,3.3
2013-1,S025,FLA0051,BL,0
2013-1,S025,INF0221,C-,1.7
2013-1,S025,INF0381,B+,3.3
2013-1,S025,INF0011,F,0
2013-1,S026,FLA0091,B+,3.3
2013-1,S026,FLA0021,A-,3.7
2013-1,S026,FLA0101,B+,3.3
2013-1,S026,FLA0051,L,4
2013-1,S026,INF0221,A,4
2013-1,S026,INF0381,A,4
2013-1,S026,INF0011,A,4
2013-2,S001,INF0441,B+,3.3
2013-2,S001,INF0521,C+,2.3
2013-2,S001,INF0531,A-,3.7
2013-2,S001,INF0501,C+,2.3
2013-2,S001,INF0561,B+,3.3
2013-2,S009,INF0131,B-,2.7
2013-2,S009,INF0621,F,0
2013-2,S009,INF0301,B,3
2013-2,S010,INF0131,C,2
2013-2,S010,INF0621,B-,2.7
2013-2,S010,INF0301,B-,2.7
